year,id,j2051b,j2054b
2007,981,30,60
2006,982,30,0
2007,982,30,0
2006,984,40,30
2007,984,40,30
2006,985,0,0
2007,985,80,30
2006,986,40,0
2007,986,40,30
2009,986,20,30
2006,988,40,60
2008,989,0,30
2009,989,20,30
2008,990,0,20
2009,990,30,0
2006,991,60,60
2008,991,120,60
2009,991,120,30
2006,993,60,0
2007,993,80,60
2008,993,60,60
2009,993,40,60
2006,994,60,0
2007,994,80,0
2008,994,120,0
2006,995,40,120
2007,995,30,0
2006,996,40,30
2007,996,40,20
2006,997,0,0
2007,997,40,30
2006,998,30,10
2007,1003,90,60
2009,1003,0,0
2006,1006,40,0
2007,1006,40,40
2008,1006,100,30
2009,1006,60,20
2006,1009,0,0
2007,1009,0,0
2008,1009,0,0
2009,1009,0,0
2006,1013,0,40
2006,1014,0,0
2007,1014,5,0
2008,1014,15,0
2009,1014,10,0
2006,1016,0,0
2007,1016,0,0
2008,1016,0,0
2009,1016,0,0
2006,1017,0,0
2008,1017,0,0
2009,1017,0,40
2006,1038,0,0
2008,1042,30,60
2009,1042,30,120
2006,1043,0,0
2007,1043,0,0
2008,1043,0,0
2009,1043,0,0
2006,1054,20,90
2006,1055,0,0
2007,1055,120,0
2009,1055,80,0
2006,1058,0,0
2007,1058,30,0
2009,1058,40,0
2006,1062,0,90
2007,1062,20,150
2006,1063,0,0
2007,1063,30,0
2006,1064,0,60
2008,1064,90,90
2009,1064,80,60
2006,1071,0,0
2007,1071,0,0
2008,1071,0,0
2009,1071,0,0
2006,1072,40,60
2009,1072,15,60
2006,1083,40,30
2006,1085,50,0
2007,1085,30,20
2008,1085,20,40
2009,1085,40,0
2006,1090,120,120
2007,1090,20,30
2008,1090,30,30
2009,1090,40,40
2006,1091,180,0
2007,1091,60,0
2008,1091,40,0
2009,1091,60,0
2006,1092,40,0
2007,1092,10,30
2008,1092,30,20
2009,1092,30,30
2008,1093,30,0
2006,1100,0,0
2007,1100,0,0
2008,1100,0,0
2009,1100,0,0
2006,1103,0,0
2007,1103,0,0
2008,1103,0,0
2006,1107,0,120
2009,1108,0,0
2006,1110,0,0
2006,1114,0,0
2008,1115,0,0
2009,1115,0,0
2006,1116,0,0
2007,1116,0,0
2008,1116,0,0
2009,1116,0,0
2008,1119,0,0
2006,1121,0,0
2007,1121,0,0
2008,1121,0,0
2009,1121,0,0
2006,1124,30,20
2007,1124,20,40
2008,1124,20,20
2009,1124,15,30
2006,1125,0,0
2009,1125,10,0
2007,1127,0,0
2006,1132,60,30
2007,1132,30,60
2009,1132,4,80
2006,1136,0,60
2007,1136,30,60
2008,1136,10,20
2009,1136,15,90
2006,1138,30,0
2007,1138,30,0
2008,1138,30,0
2009,1138,30,20
2006,1139,20,0
2007,1139,30,0
2008,1139,20,0
2009,1139,5,0
2006,1141,0,0
2007,1141,0,0
2008,1141,0,0
2009,1141,0,0
2006,1142,0,0
2007,1142,30,0
2008,1142,30,0
2009,1142,10,0
2008,1143,15,120
2009,1143,20,120
2006,1144,0,0
2007,1144,20,0
2008,1144,5,0
2009,1144,10,0
2006,1145,0,0
2007,1145,0,0
2008,1145,20,0
2009,1145,0,0
2006,1155,20,0
2007,1155,10,0
2006,1156,0,180
2006,1157,0,0
2008,1157,0,0
2009,1157,180,120
2006,1164,20,30
2007,1164,10,60
2006,1167,0,60
2006,1170,10,0
2006,1171,0,0
2007,1171,120,120
2008,1171,0,0
2006,1173,0,120
2006,1174,0,0
2006,1175,60,15
2006,1176,60,60
2006,1178,0,0
2007,1178,0,0
2008,1178,0,0
2006,1196,0,0
2007,1196,0,0
2008,1196,0,0
2009,1196,0,0
2006,1198,0,0
2007,1198,0,0
2008,1198,0,0
2009,1198,0,0
2006,1207,0,0
2007,1207,0,0
2008,1207,0,0
2009,1207,0,0
2008,1211,0,0
2009,1211,0,0
2006,1225,30,60
2008,1225,0,60
2006,1227,30,120
2006,1228,25,0
2008,1228,20,0
2006,1229,15,120
2007,1229,90,120
2008,1229,20,90
2009,1229,0,60
2006,1230,30,0
2008,1230,0,0
2009,1230,0,0
2006,1232,0,0
2008,1232,0,0
2009,1232,0,0
2006,1233,0,0
2007,1233,0,0
2008,1233,0,0
2009,1233,0,0
2006,1240,0,0
2007,1240,0,0
2008,1240,0,0
2009,1240,0,0
2006,1241,35,0
2007,1241,0,0
2008,1241,0,0
2009,1241,0,0
2006,1242,0,120
2007,1242,30,40
2008,1242,40,40
2006,1243,0,90
2007,1243,20,40
2006,1244,0,60
2008,1244,0,20
2009,1244,30,30
2006,1245,30,60
2008,1245,20,30
2009,1245,10,60
2006,1246,20,90
2007,1246,10,0
2008,1246,20,30
2009,1246,6,20
2006,1248,40,0
2009,1248,0,20
2006,1256,20,30
2007,1256,50,30
2008,1256,20,60
2009,1256,40,20
2006,1258,20,15
2007,1258,0,0
2009,1258,40,20
2006,1259,40,60
2007,1259,40,30
2006,1264,30,30
2007,1264,80,30
2008,1264,30,15
2009,1264,50,40
2006,1266,10,15
2007,1266,40,30
2006,1267,60,30
2007,1267,20,60
2008,1267,120,30
2009,1267,60,0
2006,1268,0,60
2006,1269,0,0
2006,1270,20,40
2006,1276,0,60
2006,1278,30,0
2007,1278,40,0
2006,1281,0,90
2007,1281,30,90
2006,1288,40,60
2008,1288,30,90
2006,1289,60,60
2007,1289,60,40
2008,1289,35,60
2009,1289,30,30
2006,1290,0,15
2008,1290,30,0
2007,1292,0,0
2006,1297,30,90
2007,1297,40,90
2008,1297,20,60
2009,1297,60,90
2006,1298,40,10
2007,1298,60,0
2008,1298,40,0
2009,1298,50,0
2006,1300,20,0
2007,1300,40,20
2008,1300,40,0
2009,1300,40,0
2006,1301,20,60
2007,1301,30,60
2008,1301,30,60
2009,1301,20,40
2006,1302,0,20
2007,1302,30,90
2008,1302,20,40
2009,1302,0,0
2006,1305,40,30
2006,1312,0,0
2007,1312,0,0
2008,1312,0,0
2009,1312,0,0
2006,1318,0,0
